pid,label
165243,7.46
455735,6.82
164069,11.98
158872,6.51
160187,8.14
268403,9.43
183764,10.67
149833,10.78
395163,8.93
796371,3.46
159400,12.33
155061,7.14
146382,10.97
146385,5.43
155471,13.31
341211,7.64
459981,4.52
630433,7.67
155458,5.13
811840,4.25
446546,4.52
146464,13.33
155470,5.13
159278,10.55
696601,5.61
147329,9.54
155480,6.98
159433,5.49
159336,11.12
887094,5.88
341001,14.48
294677,14.72
266034,8.46
159437,2.81
356029,10.02
146439,6.7
161890,5.25
155528,6.57
146404,6.78
155548,6.36
298551,6.71
288758,6.49
160729,6.23
155534,5.64
1031174,8.87
155378,7.45
155608,9.09
155276,9.08
151673,2.32
147541,10.87
146414,7.42
159341,10.32
470629,4.58
155163,8.27
478140,2.58
159472,7.68
155551,5.73
458399,6.44
155580,5.36
980603,9.54
1038797,1.0
199526,10.25
146527,9.2
159544,9.86
146526,9.36
155631,8.81
155652,9.81
159098,9.62
155630,9.51
146498,3.46
158320,8.94
159476,10.22
159496,6.85
155555,7.67
147030,11.23
176010,9.15
155317,10.7
161412,11.53
159517,8.82
513201,3.91
506487,10.32
197240,2.81
155592,7.97
159481,7.75
155577,7.69
854751,8.25
364424,9.7
536709,7.14
165578,5.93
377654,7.19
155797,7.61
160277,6.89
156237,6.98
146519,3.32
159482,8.71
421594,7.25
155520,10.63
275550,8.76
731492,4.39
146510,7.56
360491,2.0
161979,9.24
146543,6.78
155573,7.65
155572,7.6
731671,3.58
159591,9.71
155558,10.93
158934,8.28
505335,5.32
344285,2.81
158988,9.98
159425,9.59
678541,3.0
159449,9.24
609113,4.0
159431,8.64
155152,8.6
146473,7.63
155571,7.67
159051,7.8
159508,7.95
155505,10.0
146415,10.08
159480,8.01
155506,9.56
146367,13.2
155540,10.49
146472,7.79
155579,7.66
155513,10.12
232317,8.06
159483,7.78
155215,7.69
261512,6.61
275608,5.17
159715,8.3
159500,10.67
163339,6.34
150076,6.64
163337,6.32
150075,6.39
159246,6.34
159245,6.71
163309,6.27
163318,6.25
150024,6.21
163317,6.11
162947,6.02
150023,6.27
163335,6.11
150022,6.07
158858,6.02
163315,6.23
163314,6.29
163313,6.13
159217,6.23
162946,6.09
150071,6.23
158857,6.07
163306,6.32
163312,6.25
159221,6.21
150070,6.29
163311,6.15
150019,6.21
150020,6.13
150018,6.11
158856,6.3
155646,9.22
929803,2.0
155659,9.19
163205,6.88
508996,6.93
159707,9.48
263378,6.71
156574,8.2
159916,8.02
155547,8.45
159911,8.06
155546,8.12
162644,7.46
159668,7.22
160647,7.97
159733,5.25
162919,9.01
155545,7.94
146903,8.05
160918,9.92
159941,8.04
158540,7.79
1008800,5.64
159414,8.59
1113304,3.91
285016,6.54
159531,8.62
936507,5.67
156855,7.07
147521,7.29
269996,4.46
269997,4.7
284637,4.46
372234,4.09
146477,7.93
155532,7.91
285092,4.39
1076875,2.58
160077,3.17
634045,5.49
