pid,label
375505,5.64
412391,3.91
381565,9.75
506622,4.0
976554,4.39
381076,8.81
419834,7.08
409357,9.81
406541,11.25
408175,11.92
366184,6.21
399123,3.81
394097,4.0
408907,10.52
414257,4.0
411736,7.75
401327,6.09
420571,4.0
405327,9.98
408853,11.4
421613,10.66
385432,3.58
463910,7.94
425730,12.27
389595,7.52
387033,6.44
384415,11.74
410861,6.82
399334,6.67
387030,6.09
421504,3.81
863300,11.08
389593,7.5
381497,5.52
387029,6.23
991568,2.0
386353,5.7
365342,6.15
365676,6.19
365335,6.07
408203,6.07
413780,7.6
381527,7.02
405169,5.83
365673,6.09
407410,6.41
400433,7.17
407241,10.76
741583,5.88
401230,6.09
408202,6.09
364763,9.43
439294,10.24
365165,10.15
405989,6.07
914655,5.64
742135,6.09
933952,5.58
939677,5.17
364855,5.95
624705,5.86
749189,6.13
1003229,2.58
385203,4.09
889791,5.43
428216,3.7
430361,4.0
933676,5.88
391113,8.01
914758,5.67
408201,6.09
387028,6.07
407748,10.21
387027,6.09
450426,9.23
423930,10.37
401229,6.11
741290,5.52
742134,6.11
914919,6.07
423466,9.23
400564,7.43
939626,4.58
933604,5.81
593838,8.26
429544,9.54
914918,6.89
399846,5.75
741289,5.64
386331,4.52
624704,5.49
748492,4.91
382148,6.11
933951,6.6
408487,7.48
382146,6.61
934405,6.25
748491,4.86
899993,4.81
933950,7.2
624703,5.25
405986,6.11
399330,6.09
400226,5.88
387023,6.11
871122,3.17
414483,5.55
387021,6.11
365330,6.11
376424,10.85
381204,7.69
408198,6.54
365882,5.58
387020,6.17
406668,5.64
989190,8.56
365163,11.47
758351,5.81
399159,11.49
472204,8.84
386069,11.15
364693,8.1
449785,9.3
412930,11.8
368717,11.76
365267,9.69
365627,11.97
391865,7.71
386669,7.3
364950,6.82
364951,6.87
398959,6.78
370706,6.61
386670,6.83
469530,7.62
364303,7.17
400863,7.0
400864,6.92
405571,6.85
381762,7.24
398966,6.86
400867,6.87
386673,6.89
364954,6.93
400868,7.43
407775,6.88
386674,6.89
407776,6.92
462371,1.0
637378,1.0
616297,1.0
692727,5.25
370498,11.91
485410,6.86
389342,8.07
403920,11.86
365316,6.07
619610,5.49
387856,12.17
1004027,3.0
381872,11.52
952447,3.17
408474,11.71
492730,6.82
407127,5.78
383139,5.78
400302,5.61
454972,6.86
409350,5.73
400301,5.49
401008,11.11
723313,5.73
387887,5.64
365363,10.72
366308,5.58
364680,7.23
383138,6.02
458764,7.86
409349,5.43
405242,7.46
383136,5.81
407121,5.83
400299,5.64
652908,7.23
738841,7.32
402083,5.95
383135,5.52
409348,5.43
409347,5.83
402082,5.55
407118,5.52
366305,6.78
409346,5.52
366304,5.64
387886,5.64
670668,10.19
407910,10.65
398173,10.13
365110,11.15
485747,10.91
450025,4.25
364647,10.62
407564,11.2
647071,3.0
387631,10.8
418504,7.79
398194,10.09
424595,5.75
424792,4.09
407256,11.04
403853,6.21
434630,4.17
716262,8.9
412691,4.25
434632,4.46
424600,5.64
1058065,2.0
386696,4.0
1078888,2.81
399012,4.81
421623,6.44
405171,10.65
399014,3.7
386479,4.25
386482,4.46
412348,10.58
881724,8.74
369292,10.83
429849,5.21
407744,5.52
629151,5.21
401839,9.02
499493,5.36
396874,3.58
446194,3.58
434900,3.58
367629,7.82
381593,7.31
376010,3.58
443610,3.7
367628,7.84
387640,10.88
863307,3.81
396868,3.58
405777,11.3
401010,11.61
364898,9.75
407824,4.58
569729,5.21
623379,5.17
582501,5.17
456028,5.17
499243,5.46
412349,10.93
405845,7.29
370116,7.34
382370,5.25
403122,6.32
401009,11.16
623378,5.17
456027,5.09
456026,5.13
623377,5.17
365107,11.35
400096,6.43
375427,6.82
390746,4.39
412341,9.06
401855,6.44
582500,5.13
380573,6.07
611190,5.17
611189,5.17
386168,9.76
611188,4.95
582499,5.13
371687,9.74
611187,5.17
1099209,8.08
456025,5.09
623376,5.04
611186,5.0
611185,5.0
375413,8.96
422838,6.04
454973,6.7
1092503,5.93
522732,7.14
405444,4.86
400722,5.09
407639,5.04
407228,9.65
396867,3.7
406268,11.07
443691,3.7
768364,5.49
400929,9.34
430675,9.26
